Tamb,URamb,Taqv,URaqv,UEaqv,Aqq
14.24,100.00,16.24,87.86,19.26,7.62
14.16,100.00,16.16,87.85,19.27,7.63
14.35,100.00,16.35,87.87,19.25,7.61
14.37,100.00,16.37,87.87,19.25,7.61
14.41,100.00,16.41,87.87,19.25,7.61
14.54,100.00,16.54,87.89,19.23,7.60
14.81,100.00,16.81,87.91,19.21,7.58
14.85,100.00,16.85,87.91,19.20,7.58
15.48,100.00,17.48,87.97,19.14,7.54
15.88,100.00,17.88,88.00,19.11,7.52
16.43,100.00,18.43,88.05,19.05,7.48
17.20,100.00,19.20,88.12,18.98,7.43
17.72,99.13,19.72,87.48,18.72,7.33
17.40,100.00,19.40,88.13,18.96,7.42
18.04,99.16,20.04,87.54,18.70,7.31
18.06,99.90,20.06,88.19,18.91,7.38
18.29,98.04,20.29,86.57,18.37,7.14
18.44,95.58,20.44,84.41,17.74,6.71
18.76,90.96,20.76,80.35,16.69,5.99
19.08,86.51,21.08,76.44,15.80,5.18
19.37,83.77,21.37,74.05,15.28,4.71
19.66,80.83,21.66,71.47,14.75,4.18
19.85,78.57,21.85,69.48,14.37,3.75
19.89,78.23,21.89,69.18,14.31,3.68
20.59,73.94,22.59,65.43,13.59,2.75
22.21,65.89,24.21,58.39,12.29,0.92
21.71,66.40,23.71,58.82,12.40,1.07
21.68,66.30,23.68,58.73,12.39,1.05
21.60,66.07,23.60,58.52,12.36,1.02
21.85,64.57,23.85,57.20,12.13,0.68
22.29,62.72,24.29,55.59,11.85,0.22
22.21,62.37,24.21,55.28,11.80,0.15
21.82,63.44,23.82,56.21,11.98,0.50
21.96,61.78,23.96,54.74,11.74,0.03
22.77,58.81,24.77,52.14,11.28,-0.83
22.89,58.12,24.89,51.54,11.18,-1.03
23.86,54.69,25.86,48.54,10.66,-1.94
23.41,55.84,25.41,49.55,10.84,-1.59
23.22,56.93,25.22,50.50,11.00,-1.29
23.01,56.95,25.01,50.51,11.02,-1.26
22.82,57.06,24.82,50.60,11.04,-1.21
22.48,58.18,24.48,51.57,11.22,-0.96
22.06,60.89,24.06,53.96,11.61,-0.19
21.48,63.23,23.48,56.00,11.97,0.50
21.55,63.20,23.55,55.97,11.96,0.50
21.16,64.90,23.16,57.46,12.23,0.82
20.48,67.67,22.48,59.88,12.67,1.43
20.01,70.02,22.01,61.93,13.04,2.05
19.51,73.10,21.51,64.62,13.54,2.69
19.12,75.93,21.12,67.10,14.01,3.23
14.16,54.69,16.16,48.54,10.66,-1.94
23.86,100.00,25.86,88.19,19.27,7.63
19.44,78.74,21.44,69.54,14.89,3.40
3.03,17.37,3.03,15.13,3.32,3.48
0.19,0.25,0.18,0.24,0.25,1.02
