Hora;Tamb;Uramb;Taqv;Uraqv;UEaqv;Aqq
0.0;13.28;100;15.28;87.77;19.36;7.68
0.25;13.21;100;15.21;87.77;19.36;7.69
0.50;13;100;15;87.75;19.38;7.7
0.75;12.77;100;14.77;87.73;19.41;7.72
1.00;12.6;100;14.6;87.71;19.43;7.73
1.25;12.68;100;14.68;87.72;19.42;7.72
1.50;12.49;100;14.49;87.7;19.44;7.74
1.75;12.26;100;14.26;87.68;19.46;7.75
2.00;12.04;100;14.04;87.66;19.48;7.77
2.25;11.64;100;13.64;87.63;19.52;7.79
2.50;11.3;100;13.3;87.6;19.56;7.81
2.75;11.41;100;13.41;87.61;19.55;7.81
3.00;11.88;100;13.88;87.65;19.5;7.78
3.25;11.58;100;13.58;87.62;19.53;7.8
3.50;10.92;100;12.92;87.56;19.6;7.84
3.75;10.57;100;12.57;87.53;19.64;7.86
4.00;10.61;100;12.61;87.53;19.63;7.86
4.25;10.7;100;12.7;87.54;19.62;7.85
4.50;10.31;100;12.31;87.51;19.66;7.88
4.75;10.29;100;12.29;87.5;19.67;7.88
5.00;10.41;100;12.41;87.51;19.65;7.87
5.25;10.29;100;12.29;87.5;19.67;7.88
5.50;9.95;100;11.95;87.47;19.7;7.91
5.75;9.65;100;11.65;87.44;19.73;7.93
6.00;9.46;100;11.46;87.43;19.75;7.94
6.25;9.36;100;11.36;87.42;19.77;7.95
6.50;9.69;100;11.69;87.45;19.73;7.92
6.75;9.93;100;11.93;87.47;19.7;7.91
7.00;9.99;100;11.99;87.48;19.7;7.9
7.25;10.45;100;12.45;87.52;19.65;7.87
7.50;11.71;100;13.71;87.63;19.52;7.79
7.75;15.2;100;17.2;87.94;19.17;7.56
8.00;17.66;100;19.66;88.16;18.94;7.4
8.25;16.31;100;18.31;88.04;19.07;7.49
8.50;16.5;100;18.5;88.06;19.05;7.48
8.75;17.44;98.83;19.44;87.19;18.66;7.31
9.00;17.21;99.89;19.21;88.1;18.98;7.43
9.25;17.84;95.86;19.84;84.61;17.86;6.79
9.50;17.89;92.15;19.89;81.33;17.02;6.24
9.75;18.84;84.16;20.84;74.35;15.39;4.82
10.00;19.2;81.5;21.2;72.03;14.9;4.33
10.25;19.61;78.96;21.61;69.81;14.45;3.84
10.50;19.89;76.3;21.89;67.47;14;3.23
10.75;20.43;73.34;22.43;64.89;13.51;2.65
11.00;20.49;71.77;22.49;63.5;13.27;2.34
11.25;20.4;71.92;22.4;63.63;13.3;2.38
11.50;21.24;67.16;23.24;59.46;12.54;1.26
11.75;22.51;60.26;24.51;53.42;11.49;-0.41
12.00;21.98;60.7;23.98;53.78;11.59;-0.23
12.25;23.54;52.66;25.54;46.73;10.41;-2.41
12.50;23.72;47.49;25.72;42.14;9.72;-3.96
12.75;22.74;53.23;24.74;47.2;10.54;-2.16
13.00;22.9;52.69;24.9;46.72;10.45;-2.32
13.25;23.27;50.84;25.27;45.1;10.19;-2.85
13.50;22.94;51.32;24.94;45.51;10.27;-2.68
13.75;24.2;47.14;26.2;41.85;9.65;-4.13
14.00;24.2;46.24;26.2;41.05;9.53;-4.4
14.25;23.76;46.57;25.76;41.33;9.59;-4.23
14.50;24.5;44.49;26.5;39.51;9.28;-4.98
14.75;24.36;44.37;26.36;39.4;9.27;-5
15.00;24.69;43.06;26.69;38.25;9.08;-5.46
15.25;24.98;42.64;26.98;37.89;9.01;-5.64
15.50;24.5;43.75;26.5;38.86;9.18;-5.21
15.75;24.18;44.06;26.18;39.12;9.24;-5.07
16.00;24.04;43.91;26.04;38.98;9.23;-5.09
16.25;23.54;44.7;25.54;39.66;9.36;-4.77
16.50;23.25;45.63;25.25;40.47;9.5;-4.44
16.75;23.01;46.52;25.01;41.26;9.63;-4.14
17.00;22.54;47.93;24.54;42.49;9.84;-3.65
17.25;21.7;50.39;23.7;44.64;10.22;-2.76
17.50;20.98;53.46;22.98;47.32;10.68;-1.88
17.75;20.32;59.07;22.32;52.26;11.48;-0.43
18.00;19.69;62.88;21.69;55.59;12.05;0.5
18.25;19.06;67.29;21.06;59.46;12.72;1.5
18.50;18.48;71.02;20.48;62.72;13.31;2.4
18.75;18.17;73.25;20.17;64.67;13.67;2.85
19.00;17.87;74.84;19.87;66.06;13.94;3.16
19.25;17.41;77.05;19.41;67.97;14.32;3.69
19.50;16.83;80.28;18.83;70.79;14.9;4.33
19.75;16.54;84.16;18.54;74.19;15.59;5.01
20.00;15.7;91.4;17.7;80.5;17.06;6.29
20.25;15.44;94.27;17.44;83.01;17.71;6.73
20.50;15.48;91.72;17.48;80.76;17.15;6.36
20.75;15.23;93.58;17.23;82.38;17.58;6.65
21.00;15.07;94.81;17.07;83.45;17.87;6.83
21.25;14.89;95.24;16.89;83.82;17.99;6.9
21.50;14.94;95.21;16.94;83.79;17.98;6.9
21.75;14.14;98.98;16.14;87.04;19.02;7.54
22.00;13.76;100;15.76;87.82;19.31;7.65
22.25;14.03;100;16.03;87.84;19.28;7.63
22.50;13.87;100;15.87;87.83;19.3;7.65
22.75;12.88;100;14.88;87.74;19.4;7.71
23.00;12.45;100;14.45;87.7;19.44;7.74
23.25;12.41;100;14.41;87.7;19.44;7.74
23.50;12.77;100;14.77;87.73;19.41;7.72
23.75;12.36;100;14.36;87.69;19.45;7.74
;;;;;;
